doc_id,dominant_topic,confidence
554,5,0.961512
555,3,0.5673676
556,6,0.59198684
557,7,0.72925097
558,4,0.8772235
559,0,0.5453957
560,7,0.95750076
561,6,0.6989506
562,3,0.67375237
563,3,0.6245341
564,7,0.957502
565,0,0.4589937
566,2,0.9833751
567,3,0.66535014
568,1,0.6647888
569,0,0.96481705
570,3,0.723732
571,3,0.68029255
572,0,0.9587198
573,0,0.7679483
574,2,0.9673836
575,2,0.983377
576,4,0.82713354
577,1,0.95319
578,1,0.95724547
579,3,0.5099487
580,3,0.53149813
581,3,0.62252647
582,1,0.95724356
583,1,0.72369605
584,3,0.6678095
585,6,0.6427826
586,3,0.56335753
587,3,0.60723954
588,4,0.95795643
589,6,0.86312246
590,5,0.74749756
591,3,0.9828273
